   X    Y  Type
 
  12   57    2 
  86   92    2 
   2   10    1 
  63    4    2 
  52   58    1 
  86   43    2 
  26   12    1 
  22   77    1 
  94   27    3 
  50   96    2 
  81    1    2 
  30   81    1 
  94   15    3 
  86    9    2 
  83   28    1 
  81   73    1 
  40   41    3 
  30   87    2 
  14   44    3 
  15   81    2 
  98   62    1 
   9   44    2 
  20   67    1 
  77   29    3 
   1    8    2 
  67   40    2 
  13   23    3 
  72   37    1 
  82   76    3 
   1   10    3 
  84   49    3 
  13   58    2 
  28   32    3 
  66   80    1 
  19   12    3 
  96   58    3 
  67   32    2 
  47   50    3 
  51   23    2 
  93   97    2 
  82   39    2 
  47   61    3 
  53   99    1 
  12    1    1 
  21    7    3 
   5   64    1 
  95   50    1 
  63   29    3 
  96    9    3 
  25   22    1 
  39   90    2 
  82   28    3 
  43   77    2 
  12   82    2 
   5   10    2 
  48   20    3 
  94   94    2 
  47   67    1 
  79  100    3 
  46   93    2 
  96   16    2 
  21   88    2 
  12   62    1 
  56   91    3 
  32   23    3 
  48   54    1 
   8   81    2 
  93   65    2 
  19   45    2 
   8   17    1 
  93   57    1 
  69   35    1 
  61   75    1 
  16   91    3 
  90   93    2 
  72   73    3 
  91    1    3 
   5   56    1 
  10   45    2 
  32   99    3 
  47   51    3 
  16   21    1 
  60   49    2 
  88   56    3 
  49    2    2 
  53   65    3 
 100   55    1 
  17   20    1 
  81   45    3 
  68   12    1 
  29   91    3 
  77   18    3 
  23   67    2 
  89   52    3 
  45   33    2 
  80   61    1 
  16    8    1 
  35   43    1 
   3   87    2 
  19    9    1 
  84    1    3 
  96   56    3 
  13   27    3 
  16   60    3 
  57   32    1 
  46   90    2 
  54   70    1 
  61   88    1 
  14   13    2 
   3   33    2 
  42   22    1 
  54   10    3 
  62   74    3 
  36   14    2 
  82   34    3 
  46   92    1 
  23   80    1 
  48    2    3 
  95   40    2 
   8   99    2 
  18   19    2 
  69   32    2 
  73   50    3 
  26   26    3 
  30   58    3 
  27    7    3 
  62   92    1 
  65    3    1 
  52   73    2 
  76   75    2 
  42    2    1 
   8   11    1 
  84   50    2 
  13   78    2 
  93   62    1 
  36   93    2 
   5   57    2 
   7   68    2 
  36   34    3 
  16   28    1 
  57   93    1 
  83    4    3 
  91   60    1 
  56   92    2 
  99   11    2 
 100   73    1 
  63   95    3 
  61   40    2 
  11   95    2 
  14   88    3 
  26   35    2 
  99   88    1 
  29   97    1 
  97   46    3 
  18   91    1 
  90   21    2 
  34   64    1 
  41   80    2 
  34   51    2 
  81   82    3 
  48   49    2 
  45    7    3 
  83   14    3 
  15   31    3 
   1   47    1 
  76   90    2 
  63   45    2 
  85   57    1 
  35   12    3 
  32   55    2 
  53   22    3 
  95    7    3 
  27   80    1 
  34   79    2 
  80   20    3 
  13    3    1 
  46   13    2 
  43    2    1 
  18   28    2 
  61   96    3 
  33   14    1 
  22   99    1 
  24   58    1 
  96   65    2 
  18   98    2 
  95   21    1 
  36   34    3 
  13    8    1 
  11   12    1 
  28   97    3 
  61   17    1 
   2   95    2 
  77   90    3 
  13   15    1 
  85   73    2 
  59   52    1 
  83   63    3 
  29   97    1 
  73   68    1 
  88   44    3 
  35   93    3 
  63   24    3 
